Build-up Reference,Description,Functional Unit,Materials included,Volume/FU (m3/FU),ICE V3 Reference,ICE V3 kgCO2e/kg value,ICE V3 biogenic kgCO2e/kg value,Density used,Buildup kgCO2e/FU,Buildup biogenic kgCO2e/FU,TOTAL kgCO2e/FU,TOTAL BIOGENIC kgCO2e/FU,Mass kg/FU,buildup type,type structure,TOTAL kgCO2e/kg
Joisted Floors: Timber Joists (Domestic),50 x 200mm softwood joists at 400mm centres with a 5m clear span. 11mm OSB topper.,m2,Softwood,0.025,"Timber, Softwood",0.263,-1.55,510.0,3.3532500000000005,-19.7625,6.4563500000000005,-29.9925,19.57,Joisted Floors, Timber Joists (Domestic),0.3299105774144098
Joisted Floors: Timber Joists (Domestic),50 x 200mm softwood joists at 400mm centres with a 5m clear span. 11mm OSB topper.,m2,OSB,0.011,"Timber, OSB",0.455,-1.5,620.0,3.1031,-10.229999999999999,6.4563500000000005,-29.9925,19.57,Joisted Floors, Timber Joists (Domestic),0.3299105774144098
Joisted Floors: Timber Joists (Office),50 x 300mm softwood joists at 300mm centres with a 5m clear span. 11mm OSB topper.,m2,Softwood,0.05,"Timber, Softwood",0.263,-1.55,510.0,6.706500000000001,-39.525,9.809600000000001,-49.754999999999995,32.32,Joisted Floors, Timber Joists (Office),0.30351485148514856
Joisted Floors: Timber Joists (Office),50 x 300mm softwood joists at 300mm centres with a 5m clear span. 11mm OSB topper.,m2,OSB,0.011,"Timber, OSB",0.455,-1.5,620.0,3.1031,-10.229999999999999,9.809600000000001,-49.754999999999995,32.32,Joisted Floors, Timber Joists (Office),0.30351485148514856
Joisted Floors: JJI Engineered Joists,450 mm deep 9 mm thick OSB web with 97 x 45 mm softwood flanges. 400mm centres with a 7.5m clear span. 11mm OSB topper.,m2,OSB,0.011,"Timber, OSB",0.455,-1.5,620.0,3.1031,-10.229999999999999,10.3281,-36.73,21.995,Joisted Floors, JJI Engineered Joists,0.46956581041145706
Joisted Floors: JJI Engineered Joists,450 mm deep 9 mm thick OSB web with 97 x 45 mm softwood flanges. 400mm centres with a 7.5m clear span. 11mm OSB topper.,m2,JJI Joists,,,,,15.175,7.225,-26.5,10.3281,-36.73,21.995,Joisted Floors, JJI Engineered Joists,0.46956581041145706
Roof: Timber Pitch Roof,"75 x 200 mm softwood joists, rafters, purlins and ridge. 5m clear span. Joists at 400mm centres. Rafters at 400mm centres with 9/12 pitch. Two purlins and ridge beam across span. 35 x 50mm battens at 400mm centres.",m2,Softwood,0.104,"Timber, Softwood",0.263,-1.55,510.0,13.949520000000001,-82.212,13.949520000000001,-82.212,53.04,Roof, Timber Pitch Roof,0.263
Roof: Metal Deck Roof,COMFLOR 46 decking 1.2mm sheet thickness,m2,"Steel, finished cold rolled coil",0.00176,"Steel, finished cold-rolled coil",2.73,,7800.0,37.47744,0.0,37.47744,0.0,13.728,Roof, Metal Deck Roof,2.73
Roof: Timber cassette system,"Two layers of 11mm OSB, with timber spacers at 600mm centres",m2,OSB,0.022,"Timber, OSB",0.455,-1.5,620.0,6.2062,-20.46,6.4851904,-22.10424,14.7008,Roof, Timber cassette system,0.4411454070526774
Roof: Timber cassette system,"Two layers of 11mm OSB, with timber spacers at 600mm centres",m2,Softwood,0.00208,"Timber, Softwood",0.263,-1.55,510.0,0.27899039999999997,-1.64424,6.4851904,-22.10424,14.7008,Roof, Timber cassette system,0.4411454070526774
Lower Floor: Beam and Block System,RC40/50 110 wides beams with 440mm medium density blocks,m2,RC40/50 beams,0.02840909090909091,RC 40/50,0.1375,0.0,2400.0,9.375000000000002,0.0,11.352272727272728,0.0,190.11363636363637,Lower Floor, Beam and Block System,0.059713090257023316
Lower Floor: Beam and Block System,RC40/50 110 wides beams with 440mm medium density blocks,m2,Medium Density block,0.08409090909090909,Medium Density Concrete Block,0.09310344827586207,0.0,1450.0,11.352272727272728,0.0,11.352272727272728,0.0,190.11363636363637,Lower Floor, Beam and Block System,0.059713090257023316
